Andrés Eloy Blanco;4;1;7
Choroni;4;1;2
Joaquin Crespo;4;1;4
José Casanova Godoy;4;1;6
Las Delicias;4;1;1
Los Tacariguas;4;1;8
Madre María de San José;4;1;3
Pedro José Ovalles;4;1;5
San Mateo; 4; 11; 1
Camatagua;4;15;1
Carmen de Cura;4;15;2
Santa Rita;4;17;1
Francisco de Miranda;4;17;2
Monseñor Feliciano Gonzaléz;4;17;3
Santa Cruz;4;10;1
Juan Vicente Bolívar;4;3;1
Castor Nieves Ríos;4;3;4
Las Guacamayas;4;3;5
Pao de Zarate;4;3;3
Zuata;4;3;2
El Consejo;4;16;1
Palo Negro;4;9;1
San Martín de Porres;4;9;2
El Limón;4;13;1
Caña de Azucar;4;13;2
Ocumare de la Costa;4;18;1
San Casimiro;4;4;1
Güiripa;4;4;3
Ollas de Caramacate;4;4;4
Valle Morín;4;4;2
San Sebastian;4;5;1
Turmero;4;2;1
Alfredo Pacheco Miranda;4;2;3
Arevalo Aponte;4;2;5
Chuao;4;2;4
Saman de Güere;4;2;2
Las Tejerías; 4; 12; 1
Tiara;4;12;2
Cagua;4;6;1
Bella Vista;4;6;2
Colonia Tovar;4;14;1
Barbacoas;4;7;1
Las Peñitas;4;7;4
San Francisco de Cara;4;7;2
Taguay;4;7;3
Villa de Cura;4;8;1
Magdaleno;4;8;2
Åugusto Mijares;4;8;5
San Francisco de Asis;4;8;3
Valles de Tucutunemo;4;8;4
